id,main_category,category,sub_category,item_name,standard,unit,crew_composition_text,productivity_type,skill_worker_1_pum,skill_worker_1_count,skill_worker_2_pum,skill_worker_2_count,special_worker_pum,special_worker_count,common_worker_pum,common_worker_count,equipment_pum,equipment_count,pumsam_workload,molit_workload
40,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),해체: 10m이하,㎡,"비계공 2인, 보통인부 2인 기준",인력 생산성,0.05,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,150.0,100.0
44,가설공사,비계,시스템비계,2-7-2 시스템비계 설치 및 해체(인력),해체: 20m 초과 ~ 30m 이하,㎡,"비계공 2인, 보통인부 2인 기준",인력 생산성,0.06,4.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,110.0,0.0
2,공통가설,가설건축물,가설사무실,,토목공사 기준,일,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
4,공통가설,가설건축물,철제조립식,"2-3-1 철제조립식 가설건축물 설치 및 해체('92년 신설, '09, '22년 보완)","사무소 350m2 (목공-1인, 보통-1인)",㎡,"건축목공 1인, 보통인부 1인, 크레인(10ton) 1대 기준",인력 생산성,0.26,1.0,0.0,0.0,0.0,0.0,0.11,1.0,0.19,1.0,2.7027027027027,0.0
5,공통가설,가설건축물,철제조립식,"2-3-1 철제조립식 가설건축물 설치 및 해체('92년 신설, '09, '22년 보완)","창고 80m2 (목공-1인, 보통-1인)",㎡,"건축목공 1인, 보통인부 1인, 크레인(10ton) 1대 기준",인력 생산성,0.2,1.0,0.0,0.0,0.0,0.0,0.09,1.0,0.15,1.0,3.44827586206897,0.0
3,공통가설,가설건축물,컨테이너형,"2-3-2 콘테이너형 가설건축물 설치 및 해체('09, '22년 보완)",3*9 기준(27m2),개소,"비계공 1인, 특별인부 1인, 크레인(10ton) 1대 기준",장비 생산성,0.78,1.0,0.0,0.0,0.38,1.0,0.0,0.0,2.0,1.0,4.0,8.0
14,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,설치: H형강지주 11m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대, 크레인 1대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
10,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,설치: H형강지주 4m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.49,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.63,1.0,70.0,30.0
12,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,설치: H형강지주 7m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
15,공통가설,가설울타리,H형강지주,2-4-2 H형강 지주 설치 및 해체,해체: H형강지주 11m 이하(지주간격 2m),m,"비계공 3인, 보통인부 1인, 굴착기(0.2㎥) 0.5대, 크레인 1대 기준",장비 생산성,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
